Mine Name,Endmember Coefficients,MSE,Explained Variance,RÂ²,Cross-Validation Score
al10ka90,"[('KAOLINOR', 0.5399908706155454), ('ALUNITE2', 0.46000912938445454)]",0.25162041091650894,0.8488332823144812,-31.625916208618726,-0.13308068548256663
al20ka80,"[('ALUNITE2', 0.5950170112242203), ('KAOLINOR', 0.4049829887757797)]",0.005565444113546099,0.8870268675596176,0.35361412398016434,0.161598166918237
al40ka60,"[('ALUNITE2', 0.6324373808266831), ('KAOLINOR', 0.36756261917331684)]",0.00800759208137374,0.9012175987614472,0.11032678544266983,-0.14581849144825723
alkaxx,"[('ALUNITE2', 0.7607499011661032), ('KAOLINOR', 0.23925009883389686)]",0.020168092684736003,0.9826949571578296,-0.47836201838177916,-3.951969617117009
alpyro2,"[('PYROPHYL', 0.6233994968102834), ('ALUNITE2', 0.37660050318971666)]",0.3844523523453308,0.8231733087409754,-41.461650042812444,0.35380461614812686
chris2a,"[('ALUNITE2', 0.5709351848419373), ('WATER2', 0.4290648151580628)]",0.16674075814282002,0.7649909023290782,-5.969077422359389,-0.1281737342180143
chris3b,"[('ALUNITE2', 0.5850624254264875), ('TRONA', 0.41493757457351255)]",0.3970200896745927,-0.17972512958314546,-89.51147603260323,-0.04687475923479414
chris4b,"[('MONTMORI', 0.5497378092351115), ('MUSCOVIT', 0.4502621907648885)]",0.27845442291197864,0.8558501122703766,-13.159066587651909,0.4958908953318305
chris5a,"[('MUSCOVIT', 0.5711672013142456), ('MONTMORI', 0.4288327986857544)]",0.4771036585696097,0.8135075891370687,-124.57877906241966,0.04528886201855424
chris6a,"[('HALLOYSI', 0.5092316804788326), ('KAOLINOR', 0.49076831952116734)]",0.0980158131790392,0.956449561827532,-7.091393382347215,-0.9559804002116286
chris6c,"[('MALACHIT', 0.5348904502087042), ('TITANITE', 0.46510954979129593)]",0.09914968732372377,0.24490983426004942,-21.75635098305181,-1.4803254954927136
chris7a,"[('NH4ILLIT', 0.5016004617631733), ('HALLOYSI', 0.49839953823682664)]",0.01735672418769842,0.9453936854571439,-0.7276303167658207,0.0903376387442865
chris7b,"[('NH4ILLIT', 0.519147536586049), ('HALLOYSI', 0.48085246341395116)]",0.08524227346896457,0.8639675642895217,-4.344517184519369,-0.2000236753559534
kaolIll,"[('KAOLINOR', 0.5152805436131008), ('HALLOYSI', 0.4847194563868992)]",0.17782090913281262,0.9471222214991101,-18.383569008882912,-1.1382487790869518
pyroill2,"[('PYROPHYL', 0.6908636521400126), ('KAOLINOR', 0.30913634785998756)]",0.15258998449310535,0.9243308418104502,-7.801978108478803,-0.31744808757187687
